word,male,male_ratio,female,female_ratio,female_male_ratio
tend,1836,0.051243406,1247,0.051706265,1.009032559
god,430,0.012001451,292,0.012107642,1.008848144
realiz,754,0.021044405,512,0.021229838,1.008811487
ultim,364,0.010159368,247,0.010241738,1.008107796
french,429,0.011973541,291,0.012066177,1.007736759
stop,863,0.024086634,585,0.024256748,1.007062615
beat,375,0.010466382,254,0.01053199,1.006268441
style,492,0.013731893,333,0.013807688,1.005519586
hous,954,0.026626476,645,0.02674462,1.004437096
write,2954,0.08244718,1996,0.082763196,1.003832956
show,2043,0.057020849,1379,0.057179583,1.002783786
taho,363,0.010131458,245,0.010158809,1.002699649
check,898,0.025063496,605,0.025086039,1.000899429
sit,838,0.023388875,564,0.023385993,0.999876794
white,486,0.013564431,327,0.0135589,0.999592266
group,770,0.021490971,518,0.021478625,0.999425528
goe,883,0.024644841,594,0.024629929,0.999394937
help,1882,0.052527282,1266,0.052494091,0.999368118
earli,470,0.013117865,316,0.013102791,0.998850815
allow,439,0.012252645,295,0.012232035,0.998317995
follow,829,0.023137682,557,0.023095742,0.998187365
break,484,0.01350861,325,0.013475971,0.997583835
ago,1938,0.054090262,1301,0.05394535,0.997320917
front,389,0.010857127,261,0.010822242,0.996786872
enough,1765,0.049261771,1184,0.049094,0.996594294
anyth,3865,0.10787351,2592,0.107476054,0.996315536
cours,853,0.02380753,572,0.02371771,0.996227214
movi,4056,0.113204388,2718,0.112700585,0.995549617
made,1279,0.03569734,857,0.0355351,0.995455112
noth,1212,0.033827347,812,0.033669196,0.995324772
rais,2033,0.056741746,1360,0.056391757,0.993831902
turn,1182,0.032990036,790,0.032756976,0.992935455
real,1585,0.044237908,1059,0.043910934,0.992608745
except,752,0.020988585,502,0.020815193,0.991738744
minut,496,0.013843535,331,0.013724758,0.991420103
american,538,0.015015769,359,0.014885765,0.991342161
interest,5996,0.16735047,4001,0.165899573,0.991330187
come,3577,0.099835329,2385,0.098892897,0.990560137
eye,862,0.024058723,574,0.023800639,0.989272713
form,628,0.017527701,418,0.017332172,0.98884459
right,3661,0.102179798,2435,0.100966123,0.988122163
land,388,0.010829217,258,0.010697848,0.987869061
speak,980,0.027352145,651,0.026993407,0.986884474
